segdesc   = CLSC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2028,343.113,266.995,304.077,431.317,418.224,260.526,283.488,296.957,318.447,111.016,200.192,278.960,328.836,290.560,296.751,329.797,380.321,161.712,215.196,179.547,124.378,297.488,211.011,206.983,316.059,196.666,248.950,223.180,173.994,258.586
6/2028,460.594,242.781,672.189,350.177,574.158,248.788,400.198,178.735,220.105,60.817,230.442,164.517,328.629,209.637,210.063,571.369,302.089,318.114,514.263,65.031,167.906,381.748,415.581,350.806,455.730,80.348,489.504,222.831,315.650,190.807
7/2028,191.985,68.807,481.469,117.383,183.177,113.444,248.134,54.566,62.320,26.273,59.727,58.913,118.938,76.292,71.126,234.618,142.100,76.321,246.710,31.321,57.899,109.490,128.005,104.583,138.590,34.660,289.838,65.276,128.101,70.583
8/2028,73.266,46.090,131.810,57.996,88.443,55.075,97.874,48.617,56.687,23.580,45.144,41.340,62.572,55.610,53.591,84.586,58.493,55.136,74.876,32.569,42.161,63.214,57.516,57.812,67.944,29.275,88.705,43.604,58.069,60.646
9/2028,52.895,38.972,70.512,43.824,65.184,36.200,53.571,36.396,33.721,23.614,65.548,41.668,41.225,41.987,50.496,49.193,40.181,31.592,43.842,26.437,60.790,60.615,41.721,38.823,43.002,24.221,46.750,40.381,36.714,42.200
10/2028,51.778,51.979,67.305,61.564,74.130,54.809,43.887,36.937,34.356,37.496,39.446,41.825,61.162,84.593,56.901,47.987,45.335,36.126,47.708,26.697,58.532,72.692,39.465,35.942,46.337,29.235,43.051,43.051,32.784,33.201
11/2028,42.071,39.733,51.309,49.551,54.000,45.181,35.836,33.031,33.319,24.226,29.991,38.257,46.781,54.719,44.016,42.230,41.824,36.621,39.187,23.238,37.810,44.283,36.378,31.370,40.595,27.570,38.174,46.113,32.561,29.115
12/2028,36.014,31.622,47.207,40.196,41.437,39.964,32.028,28.319,27.488,20.508,27.438,29.853,34.099,37.667,31.335,37.565,33.626,30.737,34.226,21.338,28.193,36.297,32.157,29.303,37.222,22.460,35.565,36.065,29.234,26.278
1/2029,32.849,28.650,39.900,34.634,36.909,34.537,32.213,26.045,24.273,19.722,24.548,29.063,29.525,31.797,26.100,33.980,29.808,27.834,32.698,19.811,24.476,31.676,29.270,27.474,32.933,20.632,32.370,29.059,26.412,24.651
2/2029,27.740,31.409,39.069,28.068,31.587,33.466,31.889,24.680,20.558,22.612,21.130,25.366,24.193,31.657,21.173,30.095,24.678,23.133,27.160,17.375,26.085,37.231,27.588,33.820,34.288,17.936,28.609,27.412,24.400,22.681
3/2029,50.992,62.400,52.138,59.903,54.537,52.361,40.076,37.422,27.566,38.749,59.628,33.046,35.988,82.249,24.383,55.313,30.391,40.813,52.123,26.287,37.264,67.452,49.093,79.027,37.337,28.648,44.985,37.359,44.908,43.459
4/2029,96.332,81.199,125.471,114.026,91.046,78.923,109.593,82.446,67.925,73.509,138.903,83.846,119.745,140.153,76.712,86.419,74.242,97.733,116.525,50.864,84.935,101.443,85.838,144.091,67.937,115.796,66.662,67.015,102.369,99.148
5/2029,266.943,311.706,430.709,414.155,262.008,289.621,297.946,316.406,111.432,202.547,277.912,319.706,291.335,299.331,331.595,373.496,164.852,218.234,179.976,126.048,296.724,211.084,209.105,306.132,197.218,255.551,222.684,170.524,259.615,346.428
6/2029,242.170,677.669,349.557,577.712,248.962,403.171,179.118,227.711,61.011,231.441,163.829,333.832,209.533,209.894,572.746,303.714,319.739,516.300,64.989,172.533,380.744,415.235,351.577,458.427,80.609,494.833,222.098,318.041,191.021,461.911
7/2029,68.440,482.401,116.943,190.701,113.360,249.150,54.694,63.721,26.327,59.747,58.295,124.144,76.006,70.863,234.485,147.436,77.011,246.798,31.103,59.879,108.655,127.585,104.752,142.505,34.701,290.642,64.821,133.803,70.476,191.967
8/2029,46.178,132.471,58.133,91.291,55.709,98.816,49.106,57.472,23.807,45.476,41.148,63.422,55.847,53.881,84.807,59.663,56.279,75.270,32.718,44.168,63.021,57.595,58.303,69.541,29.683,89.389,43.513,59.927,60.949,73.560
9/2029,39.004,71.062,43.912,66.075,36.746,54.265,36.778,34.520,23.846,65.884,41.431,40.872,42.180,50.746,49.318,40.361,32.473,44.129,26.509,60.971,60.403,41.737,39.212,43.123,24.520,47.286,40.267,37.656,42.354,53.077
10/2029,51.989,67.777,61.619,75.284,55.341,44.538,37.269,34.718,37.720,39.634,41.561,61.947,84.793,57.060,48.074,45.620,37.068,47.957,26.801,61.317,72.449,39.445,36.249,46.740,29.574,43.560,42.861,33.691,33.325,51.909
11/2029,39.836,51.829,49.693,55.323,45.766,36.492,33.439,34.092,24.489,30.240,38.101,47.802,54.955,44.272,42.402,42.212,37.566,39.495,23.376,39.464,44.187,36.455,31.749,40.756,27.931,38.670,46.073,33.386,29.278,42.269
12/2029,31.694,47.686,40.309,42.310,40.491,32.635,28.679,28.050,20.736,27.647,29.700,34.603,37.867,31.557,37.707,34.001,31.610,34.496,21.457,29.347,36.181,32.208,29.639,37.695,22.780,36.036,36.006,30.173,26.424,36.180
1/2030,28.716,40.324,34.732,37.549,35.005,32.787,26.379,24.701,19.931,24.740,28.919,29.812,31.983,26.305,34.112,30.058,28.630,32.952,19.920,25.441,31.568,29.318,27.782,33.108,20.927,32.803,29.007,27.103,24.785,33.001
2/2030,31.466,39.442,28.148,32.033,33.872,32.388,24.974,20.867,22.793,21.291,25.245,24.349,31.830,21.346,30.208,24.855,23.792,27.371,17.466,26.438,37.132,27.630,34.099,34.345,18.183,28.976,27.367,24.890,22.793,27.866
3/2030,62.473,52.579,60.006,54.032,52.848,40.631,37.764,27.300,38.961,59.870,32.911,35.762,82.507,24.561,55.449,29.821,41.650,52.405,26.378,38.321,67.317,49.149,79.464,37.243,28.926,45.444,37.310,44.716,43.584,51.140
4/2030,81.279,126.142,114.149,88.817,79.440,110.464,82.893,67.059,73.798,139.238,83.659,117.395,140.389,76.938,86.589,72.878,98.936,116.847,50.963,84.522,101.303,85.901,144.635,65.271,116.243,67.222,66.937,97.968,99.338,96.549
5/2030,311.822,431.401,414.267,254.453,290.363,298.657,316.917,108.845,202.872,278.349,319.471,287.038,299.524,332.418,373.776,155.620,219.592,180.218,126.192,283.825,210.918,209.166,306.741,195.300,256.193,223.319,170.420,256.979,346.841,267.205
6/2030,677.736,349.836,577.753,254.641,403.465,179.473,227.942,64.561,231.650,163.978,333.733,214.022,209.999,573.255,303.820,326.790,517.141,65.106,172.633,391.416,415.164,351.621,458.738,83.527,495.187,222.423,317.990,196.114,462.135,242.281
7/2030,482.428,117.139,190.739,118.040,249.382,54.954,63.890,26.837,59.828,58.374,124.077,76.713,70.945,234.624,147.504,79.786,247.205,31.229,59.935,112.517,127.526,104.779,142.660,35.399,290.794,65.024,133.769,71.718,192.040,68.501
8/2030,132.484,58.299,91.327,56.963,99.010,49.370,57.632,24.045,45.556,41.211,63.363,56.618,53.961,84.880,59.719,56.924,75.565,32.840,44.212,64.141,57.545,58.326,69.664,29.961,89.491,43.712,59.896,61.002,73.605,46.233
9/2030,71.074,44.066,66.108,37.199,54.432,37.007,34.658,23.506,65.975,41.489,40.823,41.853,50.822,49.378,40.411,32.845,44.393,26.618,61.019,59.199,41.690,39.232,43.227,24.613,47.372,40.454,37.630,43.508,53.115,39.054
10/2030,67.789,61.780,75.314,55.178,44.698,37.494,34.855,38.579,39.704,41.619,61.894,85.311,57.130,48.133,45.668,37.053,48.226,26.907,61.361,75.043,39.401,36.269,46.840,29.376,43.643,43.037,33.668,33.684,51.946,52.041
11/2030,51.840,49.843,55.349,46.513,36.634,33.640,34.215,24.985,30.298,38.156,47.755,56.330,44.332,42.455,42.255,38.098,39.735,23.471,39.499,45.311,36.416,31.767,40.845,28.302,38.745,46.244,33.364,29.581,42.301,39.880
12/2030,47.696,40.443,42.334,41.222,32.771,28.871,28.169,21.078,27.703,29.747,34.559,38.521,31.614,37.757,34.042,31.828,34.726,21.548,29.379,36.725,32.171,29.657,37.781,22.927,36.107,36.161,30.153,26.692,36.210,31.734
1/2031,40.333,34.853,37.571,35.327,32.916,26.558,24.811,19.910,24.791,28.962,29.772,32.317,26.358,34.159,30.096,28.912,33.170,20.004,25.467,31.875,29.284,27.798,33.185,21.058,32.869,29.144,27.084,25.005,33.029,28.753
2/2031,39.450,28.248,32.051,34.053,32.503,25.126,20.961,23.110,21.334,25.280,24.315,31.883,21.391,30.248,24.887,23.860,27.554,17.538,26.461,37.373,27.601,34.115,34.413,18.261,29.032,27.487,24.874,22.913,27.889,31.497
3/2031,52.586,60.152,54.054,52.301,40.758,37.946,27.408,38.492,59.938,32.949,35.721,81.946,24.609,55.499,29.854,41.160,52.652,26.461,38.343,65.335,49.112,79.490,37.315,28.213,45.511,37.444,44.696,41.892,51.168,62.508
4/2031,126.156,114.329,88.845,75.662,110.654,83.134,67.181,72.108,139.331,83.722,117.336,134.238,77.031,86.662,72.928,96.899,117.077,51.061,84.559,102.391,85.852,144.660,65.364,107.800,67.305,67.107,97.938,96.482,96.589,81.336
