segdesc   = NVRN5L_F
2026-04-30
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2028,457.315,302.961,336.803,205.995,394.139,263.220,294.438,184.129,430.885,59.968,187.812,292.840,545.622,230.015,281.765,372.919,382.788,218.361,194.552,204.757,138.387,202.908,178.580,196.503,243.200,129.809,305.104,176.391,200.180,312.813
6/2028,336.126,205.868,433.842,66.273,361.204,163.449,302.121,47.093,186.400,13.548,98.626,130.278,351.193,71.804,156.375,333.738,155.953,209.761,238.041,61.906,74.110,160.933,220.800,218.873,214.558,29.899,383.445,63.185,254.195,138.545
7/2028,86.088,19.141,249.327,9.622,94.651,71.473,170.383,-8.427,28.175,17.947,-5.261,23.000,93.346,26.973,22.288,86.608,29.404,30.311,51.778,5.687,26.550,13.571,32.218,21.955,33.848,20.315,126.331,0.703,87.517,50.292
8/2028,93.275,9.701,75.835,-2.422,61.022,22.164,124.877,-5.068,40.540,17.723,18.244,-0.515,34.299,36.034,41.603,36.304,-1.203,36.444,9.901,-2.942,39.757,8.304,4.702,27.499,20.573,18.044,34.804,6.888,33.327,61.066
9/2028,74.570,54.753,40.098,21.784,87.050,13.483,77.169,14.189,7.691,28.094,50.141,57.895,25.894,43.410,33.531,37.250,9.817,42.223,15.069,19.797,100.057,20.712,8.911,11.688,17.750,17.003,8.778,21.547,67.234,36.877
10/2028,35.675,48.612,34.353,34.956,99.395,52.207,27.153,34.822,13.806,29.714,21.983,66.374,77.514,129.672,49.929,31.792,25.715,34.544,65.397,15.676,51.445,51.331,25.591,20.476,42.727,25.372,15.321,22.641,21.412,20.194
11/2028,32.427,44.572,31.177,39.616,45.299,64.779,23.061,27.566,20.606,28.451,25.235,46.816,44.262,49.282,26.370,37.909,28.590,29.836,35.335,16.484,31.394,30.036,29.669,23.062,30.092,18.931,23.270,27.862,27.851,25.225
12/2028,28.374,30.718,27.242,31.204,32.712,38.220,20.398,20.885,19.985,18.134,23.203,33.264,29.707,29.678,43.204,29.460,21.150,26.690,24.891,15.952,24.135,22.482,22.282,26.114,26.671,15.742,25.770,21.467,24.043,22.065
1/2029,27.775,25.980,24.677,24.849,30.113,29.247,22.875,20.226,19.112,18.927,19.245,41.698,26.179,25.751,26.216,26.997,19.200,22.517,26.779,18.714,21.743,24.328,18.283,29.952,23.281,15.043,24.283,17.059,20.267,24.923
2/2029,26.701,50.510,35.781,25.790,27.486,31.546,25.436,23.272,18.360,23.942,22.654,51.378,23.359,38.326,22.113,35.073,19.610,24.327,25.311,21.302,28.187,33.819,35.187,71.034,23.278,18.855,24.998,25.034,25.146,25.195
3/2029,75.479,183.602,45.096,142.777,74.444,54.713,48.034,69.631,29.176,48.080,96.019,113.715,44.799,131.070,84.080,74.755,53.374,57.331,65.474,41.752,53.162,71.023,55.163,177.184,35.947,102.517,49.177,39.622,63.294,105.395
4/2029,175.254,214.956,87.512,223.944,146.207,116.794,120.236,201.235,59.493,68.044,200.970,311.512,141.125,151.172,269.350,123.884,162.702,110.886,157.689,52.147,92.220,64.381,94.856,193.425,69.284,202.501,69.266,67.369,226.032,272.389
5/2029,303.698,340.989,206.774,389.847,263.327,296.660,184.989,432.723,60.630,190.852,292.178,536.944,230.815,285.269,372.257,381.875,221.771,195.702,206.053,137.958,203.746,179.102,197.403,236.754,130.580,310.893,176.458,196.793,312.948,457.537
6/2029,206.135,435.033,66.555,369.536,163.252,302.825,47.655,193.392,12.239,99.844,129.985,358.026,72.050,157.603,334.448,158.991,211.160,238.246,62.551,77.551,161.164,220.842,219.060,218.815,28.686,385.095,63.095,257.403,138.599,336.215
7/2029,19.340,249.995,9.682,91.752,71.200,170.997,-8.155,28.863,17.999,-4.563,22.573,99.089,27.117,23.485,86.432,32.315,31.505,51.894,6.201,26.415,13.603,32.151,21.909,33.703,20.411,127.132,0.439,92.817,50.170,85.967
8/2029,9.773,76.484,-2.442,69.197,21.876,125.809,-4.746,41.193,17.792,15.320,-0.958,34.896,36.218,42.828,36.052,-0.579,35.899,9.915,-7.506,39.427,8.255,4.528,27.444,22.568,18.156,35.551,6.327,36.394,60.886,93.117
9/2029,54.575,40.365,21.926,86.553,12.951,77.544,14.461,8.352,28.135,51.326,57.106,22.741,43.328,34.319,36.681,9.247,43.218,14.763,16.984,98.992,20.425,8.357,10.875,15.607,17.104,9.048,21.450,68.721,36.395,74.148
10/2029,48.855,34.817,34.818,102.034,52.239,27.435,35.141,13.802,29.656,22.479,66.075,79.991,129.733,50.729,31.479,25.884,35.317,65.453,16.126,54.393,51.379,25.283,20.486,44.175,25.410,15.922,22.444,23.015,20.082,35.516
11/2029,44.910,31.625,39.760,47.021,64.625,23.485,27.933,20.934,28.539,26.080,46.552,45.266,49.429,27.274,37.822,28.965,30.830,35.470,16.958,32.138,30.086,29.652,23.094,30.401,19.063,23.904,27.729,29.124,25.181,32.387
12/2029,31.058,27.789,31.430,33.772,38.201,20.922,21.299,20.252,18.255,24.080,33.076,30.067,29.887,44.588,29.445,21.667,27.855,25.081,16.467,24.826,22.584,22.315,26.220,27.051,15.910,26.565,21.379,25.465,22.095,28.414
1/2030,26.275,25.199,25.053,31.018,29.233,23.391,20.633,19.350,19.052,19.991,41.464,26.344,25.959,27.310,26.983,19.459,23.649,27.009,19.246,22.004,24.441,18.315,30.070,23.378,15.201,25.040,16.978,21.058,24.956,27.815
2/2030,51.029,36.376,25.990,28.138,31.534,25.979,23.671,18.457,24.079,23.434,51.133,22.972,38.649,23.038,35.059,19.604,25.487,25.530,21.862,27.903,33.950,35.255,71.186,23.231,19.013,25.745,24.945,26.150,25.241,26.738
3/2030,185.241,45.770,143.433,74.772,54.694,48.903,70.531,28.438,48.284,98.042,113.267,44.605,131.476,87.406,74.742,51.619,59.210,65.797,42.581,54.371,71.201,55.208,177.546,35.558,102.995,50.195,39.497,61.092,105.567,75.545
4/2030,215.395,88.002,224.395,144.713,116.769,120.999,202.587,59.795,68.155,203.070,310.857,138.746,151.374,274.955,123.890,160.947,112.323,157.917,52.745,92.558,64.468,94.862,193.661,66.541,203.064,70.038,67.242,225.571,272.514,175.308
5/2030,341.194,207.187,390.036,258.927,296.633,185.389,433.262,60.620,190.922,292.888,536.660,230.292,285.469,374.011,381.869,216.477,196.677,206.191,138.350,193.870,179.220,197.417,236.840,132.059,311.224,177.004,196.822,317.203,457.533,303.733
6/2030,435.156,66.916,369.630,168.821,302.817,47.984,193.576,13.140,99.913,130.321,357.964,74.733,157.737,334.755,158.981,217.702,238.870,62.664,77.874,170.100,220.916,219.086,218.858,30.076,385.174,63.543,257.337,142.120,336.232,206.158
7/2030,250.115,10.053,91.832,72.548,170.991,-7.894,29.020,18.065,-4.500,22.889,99.053,26.445,23.621,86.803,32.306,32.074,52.562,6.314,26.714,14.099,32.221,21.938,33.744,20.519,127.192,0.871,92.766,51.208,85.989,19.361
8/2030,76.684,-2.127,69.291,24.090,125.797,-4.404,41.400,17.944,15.407,-0.685,34.859,36.951,42.967,36.423,-0.587,36.257,10.527,-7.401,39.733,9.257,4.589,27.473,22.606,18.171,35.608,7.374,36.342,60.677,93.151,9.794
9/2030,40.505,22.237,86.676,13.683,77.541,14.603,8.484,27.706,51.415,57.514,22.708,42.250,34.444,36.968,9.240,44.735,15.321,17.995,99.475,17.230,8.422,11.344,15.641,17.115,9.095,21.776,68.654,38.892,74.186,54.597
10/2030,34.912,35.119,102.120,49.217,27.434,35.421,13.916,30.073,22.525,66.414,79.956,130.418,50.838,31.725,25.879,35.883,66.273,16.219,54.729,54.553,25.415,20.404,44.185,24.812,15.964,22.802,22.978,20.596,35.536,48.877
11/2030,31.715,40.105,47.082,68.190,23.485,28.234,21.041,29.255,26.142,46.806,45.239,51.271,27.377,38.051,28.959,31.512,36.003,17.050,32.409,30.796,29.702,23.119,30.428,19.806,23.943,28.081,29.084,25.957,32.405,44.939
12/2030,27.881,31.766,33.842,39.663,20.922,21.575,20.362,18.764,24.149,33.341,30.040,30.483,44.743,29.680,21.660,28.081,25.585,16.560,25.117,23.078,22.365,26.252,27.080,16.071,26.611,21.723,25.420,22.542,28.437,31.081
1/2031,25.288,25.358,31.096,29.721,23.391,20.913,19.456,19.068,20.052,41.832,26.318,26.197,27.431,27.221,19.452,23.805,27.616,19.344,22.286,23.776,18.360,30.113,23.405,15.204,25.089,17.300,21.020,25.293,27.840,26.295
2/2031,36.503,26.281,28.208,31.676,25.987,23.961,18.559,24.276,23.501,51.487,22.949,38.558,23.152,35.407,19.598,25.498,26.127,21.976,28.210,34.878,35.330,71.264,23.257,18.826,25.798,25.299,26.106,25.430,26.761,51.063
3/2031,45.915,144.254,74.880,54.234,48.916,71.170,28.559,48.538,98.174,114.019,44.570,130.387,87.943,75.340,51.608,58.430,66.603,42.753,54.742,69.475,55.277,177.670,35.591,100.825,50.269,40.139,61.001,103.359,75.588,185.351
4/2031,88.079,224.924,144.792,111.206,120.999,203.247,59.890,66.778,203.173,311.985,138.708,146.557,275.646,124.248,160.936,111.261,158.400,52.863,92.821,65.296,94.897,193.671,66.566,192.695,70.095,67.642,225.468,267.157,175.328,215.417
