segdesc   = GBRW4R_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2028,198.266,193.214,59.024,153.688,347.275,167.719,174.926,171.585,105.193,53.188,71.163,99.475,144.121,243.007,170.388,103.811,147.821,29.126,141.638,178.147,69.491,189.383,188.412,123.635,375.819,287.536,82.063,122.187,83.442,150.917
6/2028,345.289,151.237,416.369,584.044,716.287,312.472,531.797,217.930,114.597,189.138,210.104,245.323,368.562,272.026,64.718,270.256,455.164,209.591,398.777,209.359,93.435,435.134,298.809,275.723,717.898,450.786,266.084,341.136,335.798,57.156
7/2028,223.972,30.542,409.355,284.153,302.169,352.506,322.137,66.713,29.577,74.918,74.320,167.677,242.825,75.631,13.182,191.513,333.813,170.237,600.029,74.240,34.813,279.246,134.243,90.805,345.422,189.548,211.891,168.569,156.773,29.328
8/2028,170.717,27.576,143.846,91.081,149.037,114.830,112.201,38.542,20.767,33.491,34.681,67.061,81.801,45.608,28.291,61.369,103.958,58.872,176.221,39.213,23.033,97.231,52.985,43.763,113.630,70.835,78.607,59.914,70.727,20.556
9/2028,67.350,26.050,62.101,54.908,96.342,56.397,77.962,42.790,19.764,34.492,34.506,53.846,46.561,37.585,26.712,45.868,51.726,38.397,77.813,30.777,30.073,67.909,40.859,38.832,80.910,45.301,54.518,39.232,56.866,24.276
10/2028,51.902,37.404,53.933,52.073,80.349,54.441,51.237,39.959,22.438,35.168,28.108,48.902,46.325,53.378,43.546,39.552,52.066,33.015,66.857,32.191,33.860,112.798,48.145,71.950,83.272,46.198,48.139,37.213,39.411,23.083
11/2028,43.713,34.021,47.997,50.229,56.423,44.129,45.171,35.541,31.498,30.311,29.319,48.159,41.412,40.412,35.972,41.133,47.739,33.969,55.804,38.508,28.938,59.270,38.397,72.045,66.768,44.416,40.178,40.324,39.975,25.067
12/2028,37.021,27.383,46.197,45.985,46.304,39.131,39.310,29.328,23.778,25.021,25.004,34.548,36.353,35.382,26.461,32.552,38.620,28.487,45.841,32.315,23.014,45.526,31.939,40.425,59.000,37.303,33.703,33.736,34.229,21.448
1/2029,32.314,23.856,36.544,45.403,40.021,33.334,34.538,25.578,19.789,21.853,22.301,29.147,35.383,32.234,22.046,29.823,33.254,25.860,41.192,27.388,20.356,41.349,28.336,32.645,50.528,32.687,29.233,28.932,29.607,19.310
2/2029,27.403,32.485,40.076,36.608,33.451,30.312,33.706,22.368,17.431,27.615,20.666,25.707,29.784,29.830,18.808,27.954,27.980,24.187,36.736,23.964,25.349,43.557,33.552,44.069,44.179,31.126,25.837,28.999,25.822,18.174
