segdesc   = GJNC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2028,396.862,232.549,275.521,229.044,306.444,273.416,201.420,178.120,204.229,117.482,215.944,200.615,347.142,237.182,210.569,295.295,284.715,191.184,265.989,159.322,161.760,229.172,188.351,205.640,210.118,147.436,284.607,181.948,152.062,215.181
6/2028,284.509,135.342,340.648,127.802,257.960,179.360,184.686,83.533,106.488,58.651,127.448,93.452,227.136,121.531,105.335,281.830,166.429,185.270,312.002,70.017,118.002,177.693,166.676,160.640,184.013,59.492,270.492,111.967,150.656,117.613
7/2028,102.293,32.936,195.492,35.075,67.427,65.289,83.837,22.511,26.656,22.871,30.269,28.043,61.779,33.138,32.862,90.989,64.880,42.553,116.832,33.762,40.280,60.920,58.298,56.124,48.013,25.760,104.780,30.229,52.705,38.431
8/2028,46.056,28.218,61.211,24.473,41.946,29.458,56.896,23.763,25.948,24.115,24.210,27.951,33.797,27.540,27.806,45.393,34.649,38.739,45.729,29.924,40.577,52.837,45.753,44.556,38.785,34.240,46.732,31.564,25.604,34.838
9/2028,58.329,44.128,66.304,46.392,66.574,45.455,51.878,43.380,44.721,33.726,49.428,59.215,52.047,55.377,71.778,59.568,53.707,49.630,65.951,45.392,66.277,82.139,60.388,61.044,55.690,48.529,55.384,50.724,37.943,47.726
10/2028,83.597,67.985,78.702,78.451,95.172,72.864,60.285,69.145,61.744,52.076,58.561,70.055,83.774,119.954,97.910,76.546,75.074,72.876,87.482,55.051,87.781,100.985,83.830,80.994,84.498,61.732,88.577,54.880,58.438,64.612
11/2028,51.408,46.353,52.734,51.493,56.965,45.915,41.364,38.987,39.204,38.216,38.773,49.158,54.234,60.446,53.832,44.594,44.230,43.411,45.791,36.378,46.575,45.807,41.395,40.524,41.853,37.081,43.088,42.397,40.414,46.115
12/2028,37.511,35.283,39.501,38.676,40.324,38.408,32.157,29.807,30.329,28.507,32.031,36.181,38.639,40.162,40.295,35.539,33.285,38.113,35.457,29.157,32.910,35.752,32.816,33.628,32.892,27.513,35.502,32.438,31.874,33.399
1/2029,32.967,31.342,33.146,33.409,35.862,33.460,29.880,25.728,26.181,24.628,27.910,39.720,34.598,34.003,32.816,31.979,28.572,32.369,31.800,26.050,27.646,30.904,28.711,33.384,28.266,24.662,30.966,26.980,27.311,32.098
2/2029,27.697,28.810,36.476,26.542,28.903,28.173,26.565,21.786,20.581,21.021,22.656,29.364,26.775,30.806,27.986,28.606,22.957,25.574,26.259,23.249,26.805,31.207,26.354,31.582,23.844,20.384,25.309,23.328,23.263,27.420
3/2029,50.350,57.524,47.388,52.448,54.947,51.176,37.668,35.888,31.157,33.051,49.757,40.773,36.966,78.893,35.231,46.666,29.692,39.705,45.093,28.023,31.794,47.654,34.178,52.680,31.962,31.575,37.204,31.297,40.664,51.013
4/2029,122.158,101.045,116.800,121.752,111.645,106.726,92.692,81.406,76.375,89.104,143.540,158.835,158.699,155.965,70.942,97.430,83.816,129.079,124.308,61.774,93.400,87.267,104.469,121.178,75.583,117.749,81.564,64.208,113.329,127.533
5/2029,232.820,280.595,229.187,303.501,273.549,202.811,179.106,203.437,117.606,216.735,200.414,343.866,237.486,212.184,295.682,282.629,193.277,267.054,159.744,162.918,229.276,188.664,207.023,205.474,147.923,287.822,181.596,150.369,215.282,398.318
6/2029,135.512,342.899,127.956,262.373,179.497,185.452,84.119,109.637,58.737,127.812,93.452,231.627,121.775,105.941,282.060,168.064,186.253,312.327,70.303,121.103,177.831,166.885,161.171,185.798,59.922,271.541,111.851,152.974,117.694,284.843
7/2029,33.013,196.641,35.074,70.045,65.234,84.294,22.714,27.123,22.938,30.267,27.976,64.164,33.198,33.071,90.862,67.762,43.022,116.762,33.839,41.417,60.818,58.279,56.261,49.512,25.890,104.971,30.105,55.439,38.202,101.740
8/2029,28.202,61.766,24.439,43.080,29.353,57.437,23.842,26.096,24.113,24.201,27.790,34.063,27.524,27.894,45.193,35.137,39.144,45.599,29.947,41.415,52.679,45.657,44.633,39.017,34.347,46.817,31.412,26.354,34.491,45.896
9/2029,44.028,66.836,46.239,66.858,45.314,52.198,43.692,44.804,33.679,49.166,58.916,51.435,55.488,71.965,59.348,53.751,49.938,65.780,45.333,66.723,82.026,60.240,61.045,55.280,48.601,55.345,50.408,38.375,47.388,58.095
10/2029,68.003,79.322,78.421,95.533,72.877,60.601,69.463,62.204,52.099,58.451,69.872,84.824,120.189,98.267,76.479,76.263,73.283,87.467,55.100,89.930,100.887,83.786,81.112,84.622,61.994,88.704,54.677,59.696,64.460,83.979
11/2029,46.477,53.240,51.573,58.235,46.029,41.736,39.394,39.825,38.320,38.788,49.105,54.868,60.594,54.198,44.636,44.503,43.878,45.876,36.526,47.796,45.803,41.467,40.723,43.040,37.377,43.267,42.316,41.059,46.099,51.888
12/2029,35.412,39.979,38.760,40.840,38.516,32.524,30.199,30.518,28.612,32.050,36.148,38.920,40.299,40.680,35.584,33.590,38.657,35.541,29.306,33.663,35.750,32.890,33.842,33.051,27.791,35.694,32.365,32.613,33.383,37.554
1/2030,31.464,33.587,33.484,36.095,33.572,30.236,26.089,26.310,24.724,27.925,39.682,34.777,34.141,33.145,32.022,28.778,32.823,31.879,26.191,28.211,30.903,28.783,33.598,28.310,24.923,31.144,26.914,27.830,32.081,33.007
2/2030,28.916,36.971,26.604,29.141,28.263,26.878,22.096,20.698,21.105,22.666,29.336,26.734,30.926,28.256,28.644,23.128,25.974,26.327,23.371,27.035,31.199,26.426,31.782,23.820,20.604,25.460,23.268,23.596,27.402,27.732
3/2030,57.655,47.867,52.528,53.919,51.268,38.020,36.269,30.297,33.160,49.774,40.738,36.464,79.029,35.541,46.713,29.124,40.159,45.188,28.162,32.430,47.634,34.254,53.003,31.150,31.896,37.378,31.228,39.940,50.997,49.651
4/2030,101.140,117.324,121.876,108.899,106.811,93.132,81.964,75.711,89.235,143.577,158.724,156.592,156.068,71.428,97.493,82.815,129.747,124.413,61.918,92.979,87.254,104.575,121.530,73.805,118.307,81.766,64.140,111.390,127.528,122.593
5/2030,280.714,229.538,303.600,270.631,202.897,179.407,203.881,116.330,216.851,200.459,343.740,236.765,212.274,296.512,282.679,188.794,267.754,159.806,163.055,223.403,188.660,207.091,205.731,148.226,288.504,181.746,150.305,214.676,398.304,233.198
6/2030,342.988,128.230,262.417,182.844,185.522,84.286,109.861,60.903,127.869,93.467,231.610,124.270,106.018,282.342,168.089,189.888,312.641,70.348,121.188,183.180,166.892,161.209,185.932,60.862,271.766,111.966,152.927,120.580,284.828,135.340
7/2030,196.759,35.214,70.075,68.616,84.371,22.790,27.204,23.022,30.274,27.977,64.162,33.552,33.105,91.010,67.781,44.723,117.042,33.860,41.488,62.288,58.286,56.294,49.612,26.055,105.096,30.180,55.402,39.440,101.728,32.914
8/2030,61.841,24.471,43.112,29.877,57.572,23.889,26.296,24.192,24.201,27.794,34.073,27.885,27.958,45.313,35.152,39.520,45.944,29.967,41.476,53.216,45.667,44.664,39.111,34.332,46.898,31.474,26.331,35.050,45.875,28.338
9/2030,66.906,46.527,66.888,45.530,52.271,43.869,44.998,33.625,49.229,58.920,51.452,54.790,72.098,59.452,53.766,50.213,66.058,45.371,66.811,80.938,60.253,61.077,55.366,48.816,55.416,50.496,38.349,47.702,58.081,44.368
10/2030,79.387,78.629,95.558,73.292,60.641,69.615,62.357,53.005,58.491,69.878,84.834,120.805,98.330,76.580,76.277,73.776,87.640,55.134,90.008,103.509,83.787,81.136,84.697,62.392,88.767,54.765,59.667,64.724,83.970,68.471
11/2030,53.281,51.775,58.254,46.425,41.768,39.535,39.958,38.565,38.823,49.111,54.873,61.414,54.243,44.726,44.515,44.761,46.013,36.556,47.855,46.800,41.467,40.747,43.105,37.974,43.322,42.392,41.033,47.183,51.881,46.634
12/2030,40.018,38.949,40.859,38.895,32.554,30.335,30.645,28.807,32.085,36.151,38.925,40.600,40.730,35.670,33.601,38.636,35.671,29.335,33.718,36.003,32.890,33.867,33.113,27.839,35.748,32.437,32.588,33.614,37.546,35.428
1/2031,33.623,33.655,36.112,33.665,30.265,26.214,26.429,24.782,27.958,39.686,34.781,34.321,33.191,32.103,28.789,33.119,32.002,26.219,28.262,30.989,28.784,33.627,28.369,24.923,31.195,26.980,27.808,32.219,33.001,31.479
2/2031,37.011,26.746,29.156,28.373,26.904,22.204,20.799,21.169,22.697,29.338,26.739,30.953,28.298,28.718,23.136,25.993,26.440,23.396,27.082,31.500,26.428,31.806,23.871,20.585,25.503,23.328,23.577,27.474,27.726,28.929
3/2031,47.902,52.712,53.938,49.684,38.047,36.396,30.412,32.328,49.812,40.740,36.467,78.575,35.586,46.808,29.134,39.699,45.323,28.190,32.482,46.906,34.251,53.030,31.208,31.477,37.428,31.296,39.914,49.402,49.645,57.176
4/2031,117.354,122.101,108.921,104.052,93.155,82.126,75.883,87.736,143.623,158.745,156.590,152.360,71.467,97.609,82.829,127.416,124.536,61.949,93.048,85.853,104.562,121.555,73.865,112.104,81.823,64.183,111.361,123.619,122.588,101.555
