segdesc   = MPSC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2028,299.886,231.473,263.416,381.960,354.079,217.382,233.365,261.375,268.159,100.365,175.438,240.043,285.418,252.717,243.477,266.642,326.804,135.624,171.302,154.292,108.408,261.249,177.449,176.718,273.509,172.530,202.290,196.233,149.112,222.845
6/2028,421.761,220.875,601.704,321.688,507.874,219.334,345.610,160.004,193.993,57.951,210.652,146.875,293.397,189.525,177.775,501.918,270.628,274.176,446.644,58.361,153.721,340.419,367.626,303.828,405.115,76.404,427.414,200.255,280.642,166.797
7/2028,182.918,67.007,437.578,113.441,170.288,103.023,218.972,53.069,60.299,25.633,58.091,56.581,112.676,73.096,67.096,216.471,133.512,72.113,226.359,30.179,56.064,102.987,120.102,96.368,131.684,33.761,258.827,62.617,117.037,67.133
8/2028,70.530,44.361,126.312,55.996,83.463,52.345,90.355,46.543,53.909,22.402,43.085,39.363,59.947,51.607,49.064,80.912,55.939,51.009,71.621,30.304,39.808,58.939,55.433,55.124,65.067,27.863,83.772,41.613,55.671,56.004
9/2028,50.277,36.178,66.271,41.143,58.430,34.144,49.114,34.609,31.670,21.917,57.888,36.080,39.450,38.667,43.079,46.406,38.141,29.585,41.450,24.753,54.996,54.600,40.109,36.338,40.689,22.866,44.599,38.463,34.614,39.495
10/2028,46.261,43.399,60.009,50.295,60.909,45.157,39.340,31.394,30.457,30.371,34.667,33.776,51.869,64.407,44.130,42.455,39.952,31.021,41.021,23.740,48.799,61.049,34.931,31.895,41.747,25.604,38.727,37.842,29.547,29.581
11/2028,37.211,33.414,45.611,42.346,45.805,37.342,31.456,27.680,29.398,19.772,25.798,31.324,39.535,44.779,35.504,36.297,35.802,30.888,33.513,19.793,31.950,38.340,31.318,27.302,35.633,23.575,33.304,39.510,27.979,25.152
12/2028,31.718,27.413,41.736,35.183,36.121,33.744,27.898,24.160,23.973,17.193,23.405,25.176,29.567,31.138,25.610,32.165,29.161,26.085,29.378,18.018,24.144,31.310,27.791,25.130,32.686,19.283,30.629,31.332,25.242,22.565
1/2029,28.920,24.910,35.496,30.107,32.242,29.178,27.796,22.331,21.055,16.657,21.144,24.402,25.800,26.433,21.517,29.333,25.987,23.894,27.896,16.734,21.087,27.551,25.561,23.307,28.709,17.723,27.987,25.383,22.920,21.120
2/2029,24.370,27.191,34.282,24.586,27.559,27.585,27.445,21.089,17.784,18.976,18.231,21.431,21.154,24.615,17.527,25.690,21.522,19.967,23.214,14.626,21.392,32.053,23.822,28.103,29.470,15.402,24.539,23.703,21.054,19.380
