segdesc   = BMDC2L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5/2028,276.128,213.497,234.748,356.015,315.677,192.775,199.268,239.515,239.348,93.770,164.316,221.205,259.300,231.465,217.218,230.583,300.339,119.187,143.048,140.149,100.016,237.002,158.810,156.772,247.936,161.059,170.184,179.907,132.201,206.946
6/2028,400.167,207.821,568.981,305.269,476.434,201.141,316.779,146.325,177.313,53.319,198.071,134.741,273.315,176.785,159.618,466.237,252.008,251.968,415.551,51.816,143.850,317.230,341.142,279.851,379.109,71.333,397.044,186.174,261.066,153.497
7/2028,175.228,63.338,418.378,108.214,161.479,95.417,204.720,49.417,55.927,23.546,55.005,52.821,106.141,69.144,61.811,204.533,126.242,66.850,215.168,27.483,53.029,97.475,113.501,89.245,124.909,31.460,243.574,58.344,109.917,63.101
8/2028,67.133,42.069,121.368,53.171,79.096,48.871,84.706,43.657,50.756,20.756,40.843,36.870,56.740,48.323,45.150,76.451,52.647,47.780,67.798,27.948,37.532,55.396,52.488,51.993,61.638,26.101,79.060,38.729,52.626,52.642
9/2028,47.446,33.636,63.244,38.747,54.152,31.632,45.518,32.229,29.374,20.419,53.857,32.886,37.271,36.301,39.508,43.277,35.690,27.418,38.805,22.952,52.384,51.552,37.928,33.812,38.139,21.310,41.596,36.266,32.513,36.827
10/2028,43.794,39.924,56.948,45.721,54.733,41.064,36.772,28.689,28.409,27.534,32.511,30.793,48.055,57.038,39.377,39.447,37.320,28.636,37.939,22.082,45.313,56.532,32.779,29.679,39.222,23.930,36.080,35.302,27.663,27.716
11/2028,35.109,30.754,43.104,38.967,41.508,33.479,29.295,25.059,27.565,18.168,24.251,27.799,36.849,40.258,31.969,33.469,32.985,28.538,31.028,18.343,29.304,35.928,29.242,25.458,33.290,21.877,30.968,36.297,26.064,23.579
12/2028,29.825,25.483,39.162,32.423,33.342,30.307,25.879,22.078,22.281,15.699,21.809,22.852,27.519,28.353,23.437,29.491,26.993,23.936,27.099,16.562,22.358,28.994,25.757,23.285,30.514,17.908,28.372,28.799,23.385,21.104
1/2029,27.119,23.124,33.407,27.858,29.645,26.408,25.748,20.457,19.531,15.261,19.697,21.863,23.939,24.211,19.673,26.894,24.098,21.893,25.558,15.349,19.602,25.521,23.741,21.388,26.638,16.444,25.863,23.455,21.232,19.749
2/2029,22.779,25.040,32.017,22.839,25.412,24.934,25.163,19.282,16.510,17.216,16.978,19.308,19.614,22.382,16.017,23.394,19.959,18.398,21.339,13.364,19.535,29.054,21.854,25.426,27.035,14.054,22.439,21.778,19.463,18.005
3/2029,40.207,45.549,41.276,43.860,42.188,35.998,30.754,28.903,21.396,27.652,43.974,24.861,28.222,52.713,17.226,41.206,23.941,30.222,37.468,20.311,25.749,50.485,36.681,57.046,29.234,19.718,34.230,28.098,32.171,32.758
4/2029,73.416,59.770,95.332,78.134,61.928,50.213,84.778,58.907,54.230,50.172,92.081,60.562,88.699,88.968,46.697,61.343,53.758,63.419,80.937,37.138,64.390,74.971,59.793,106.222,48.205,75.101,49.426,50.626,73.387,68.188
5/2029,213.444,241.536,355.527,311.647,194.265,204.620,240.461,237.411,94.136,166.257,220.452,251.917,232.157,219.297,232.422,294.175,121.683,145.549,140.514,101.328,236.006,158.850,158.641,239.552,161.517,175.561,179.526,129.060,207.911,278.972
6/2029,207.212,574.172,304.692,479.757,201.377,319.640,146.632,183.185,53.462,198.923,134.105,277.403,176.622,159.481,467.631,253.694,253.372,417.497,51.725,147.696,316.201,340.788,280.569,380.996,71.532,401.997,185.472,263.124,153.671,401.389
7/2029,62.957,419.294,107.799,167.837,95.431,205.734,49.496,57.065,23.557,54.971,52.228,110.310,68.824,61.573,204.459,130.250,67.414,215.281,27.239,54.852,96.670,113.103,89.396,128.367,31.447,244.396,57.901,114.309,62.987,175.192
8/2029,42.139,122.009,53.307,81.590,49.490,85.604,44.101,51.497,20.942,41.125,36.692,57.495,48.524,45.455,76.678,53.672,48.807,68.168,28.071,39.255,55.203,52.559,52.465,63.018,26.464,79.733,38.638,54.262,52.930,67.407
9/2029,33.642,63.736,38.836,55.059,32.158,46.172,32.570,30.097,20.610,54.132,32.684,36.959,36.455,39.753,43.395,35.790,28.220,39.073,22.999,52.631,51.330,37.934,34.183,38.297,21.566,42.097,36.151,33.354,36.957,47.602
10/2029,39.904,57.361,45.780,55.842,41.576,37.350,28.958,28.685,27.704,32.642,30.570,48.838,57.161,39.532,39.534,37.568,29.394,38.162,22.151,47.514,56.283,32.752,29.965,39.515,24.205,36.554,35.109,28.358,27.817,43.899
11/2029,30.820,43.569,39.102,42.513,34.033,29.884,25.405,28.235,18.380,24.446,27.673,37.590,40.441,32.217,33.633,33.259,29.312,31.309,18.446,30.626,35.820,29.306,25.811,33.419,22.173,31.424,36.251,26.721,23.720,35.278
12/2029,25.521,39.586,32.530,34.092,30.806,26.422,22.381,22.764,15.879,21.967,22.723,27.898,28.505,23.652,29.624,27.246,24.645,27.342,16.648,23.275,28.865,25.796,23.597,30.871,18.169,28.805,28.732,24.104,21.227,29.962
1/2030,23.159,33.783,27.951,30.245,26.850,26.261,20.739,19.895,15.428,19.843,21.741,24.165,24.355,19.872,27.018,24.278,22.543,25.787,15.427,20.416,25.402,23.778,21.674,26.777,16.685,26.262,23.396,21.768,19.863,27.245
2/2030,25.069,32.346,22.915,25.838,25.319,25.607,19.531,16.777,17.357,17.099,19.205,19.750,22.510,16.184,23.499,20.077,18.939,21.530,13.430,19.926,28.942,21.886,25.681,27.101,14.256,22.777,21.726,19.848,18.100,22.883
3/2030,45.581,41.662,43.956,41.910,36.462,31.249,29.191,21.230,27.810,44.146,24.746,28.061,52.896,17.398,41.332,23.537,30.901,37.720,20.373,26.397,50.329,36.722,57.445,29.190,19.936,34.651,28.041,32.087,32.860,40.326
4/2030,59.818,95.933,78.250,60.693,50.710,85.581,59.291,53.359,50.392,92.298,60.403,86.957,89.141,46.931,61.502,52.788,64.382,81.222,37.203,64.060,74.813,59.838,106.718,46.314,75.449,49.940,50.545,69.855,68.344,73.592
5/2030,241.614,356.165,311.751,187.786,205.329,241.111,237.856,92.186,166.547,220.823,251.717,228.469,219.451,233.207,294.442,114.614,146.684,140.737,101.442,225.510,158.670,158.692,240.112,159.835,176.093,180.109,128.966,206.193,279.338,213.664
6/2030,574.220,304.943,479.795,206.124,319.924,146.957,183.389,56.421,199.116,134.235,277.317,180.170,159.571,468.116,253.795,258.368,418.246,51.832,147.779,324.800,340.712,280.608,381.294,73.875,402.320,185.777,263.074,157.294,401.599,207.309
7/2030,419.305,107.980,167.874,98.842,205.956,49.741,57.216,24.037,55.042,52.296,110.249,69.463,61.647,204.597,130.315,69.698,215.634,27.358,54.897,99.935,113.040,89.419,128.516,32.136,244.533,58.093,114.272,64.048,175.260,63.012
8/2030,122.011,53.465,81.624,50.601,85.790,44.352,51.643,21.144,41.196,36.746,57.440,49.183,45.525,76.749,53.726,49.381,68.441,28.186,39.288,56.148,52.505,52.485,63.137,26.709,79.824,38.828,54.230,52.952,67.448,42.188
9/2030,63.738,38.980,55.090,32.582,46.333,32.788,30.222,20.389,54.208,32.732,36.911,36.293,39.821,43.454,35.837,28.553,39.314,23.102,52.666,50.639,37.885,34.201,38.398,21.659,42.174,36.331,33.326,37.917,47.637,33.687
10/2030,57.362,45.922,55.871,41.592,37.504,29.161,28.805,28.360,32.700,30.616,48.791,57.663,39.592,39.592,37.613,29.432,38.393,22.249,47.545,58.118,32.705,29.982,39.611,24.086,36.627,35.273,28.332,28.087,43.932,39.947
11/2030,43.570,39.235,42.538,34.531,30.020,25.587,28.343,18.723,24.495,27.716,37.549,41.364,32.269,33.685,33.300,29.621,31.515,18.534,30.650,36.701,29.264,25.826,33.505,22.417,31.490,36.410,26.696,23.979,35.307,30.856
12/2030,39.587,32.650,34.116,31.335,26.552,22.554,22.868,16.135,22.014,22.761,27.859,28.931,23.702,29.674,27.285,24.806,27.540,16.732,23.297,29.315,25.756,23.612,30.953,18.279,28.868,28.876,24.081,21.445,29.989,25.555
1/2031,33.784,28.058,30.266,27.127,26.385,20.901,19.992,15.417,19.886,21.776,24.129,24.565,19.919,27.065,24.314,22.741,25.974,15.505,20.433,25.667,23.741,21.688,26.852,16.787,26.320,23.524,21.746,20.046,27.270,23.190
2/2031,32.346,23.005,25.856,25.498,25.717,19.669,16.860,17.611,17.136,19.234,19.720,22.563,16.223,23.540,20.107,18.989,21.688,13.496,19.941,29.137,21.854,25.695,27.167,14.334,22.826,21.839,19.829,18.209,22.904,25.094
3/2031,41.661,44.087,41.931,36.087,31.370,29.356,21.325,27.557,44.203,24.776,28.025,52.461,17.440,41.382,23.569,30.569,37.934,20.450,26.410,48.864,36.682,57.467,29.259,19.478,34.709,28.167,32.064,31.725,40.351,45.610
4/2031,95.938,78.412,60.720,48.503,85.765,59.516,53.468,49.097,92.373,60.452,86.904,84.790,47.012,61.576,52.835,63.131,81.422,37.294,64.086,75.750,59.785,106.740,46.404,70.213,50.015,50.705,69.823,66.169,73.628,59.859
