segdesc   = GLDA3L_F
2026-05-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4/2028,1315.262,984.474,835.399,1024.421,1373.186,1083.178,680.166,755.369,755.921,460.800,534.349,1376.905,1425.933,1090.033,1106.845,623.048,816.018,708.073,1099.753,1168.936,301.406,669.408,700.013,733.141,1869.271,476.232,1088.928,606.303,437.997,1000.466
5/2028,3429.363,2086.643,2349.802,3000.574,4019.518,2658.575,2117.408,1972.934,2250.968,296.974,1361.069,1772.707,3104.292,2452.858,2017.051,2094.272,2818.886,994.796,2340.398,1351.635,727.222,1724.379,1411.415,1989.556,2530.861,1299.751,2361.727,1553.098,1026.312,1904.881
6/2028,4323.504,1630.368,4845.194,2868.231,4803.594,2504.146,3245.711,1369.164,1487.743,369.997,2103.896,1030.538,3440.446,1914.957,1137.199,3667.295,2559.764,2546.225,4979.010,424.939,1154.944,2895.058,2197.085,2474.321,3227.187,919.001,3695.184,1767.945,2306.483,1095.109
7/2028,1910.683,317.949,3865.566,1177.172,1661.129,1466.269,1823.963,243.866,309.894,2.433,501.390,408.395,1386.263,477.142,306.153,1862.209,1462.969,819.057,3654.451,100.626,256.090,1025.769,800.315,743.035,1109.779,227.906,2231.756,471.083,917.206,391.802
8/2028,703.313,197.958,1037.200,370.868,824.626,534.205,748.439,155.244,245.553,54.836,212.279,209.811,491.617,308.520,277.415,568.336,442.675,393.239,853.997,150.523,217.864,440.041,290.006,351.020,481.370,149.611,582.620,225.072,354.924,278.295
9/2028,599.464,307.761,547.963,375.729,760.512,410.309,510.188,234.440,221.261,202.051,392.501,334.453,387.612,357.841,343.529,431.571,319.094,281.798,540.219,181.795,459.027,453.164,267.344,376.607,368.421,167.194,374.881,244.190,396.931,292.128
10/2028,568.384,456.539,589.074,535.387,873.268,523.735,384.085,399.712,264.972,313.278,309.999,500.003,607.759,1083.861,509.614,418.202,390.837,438.642,616.975,258.868,545.012,654.279,391.256,451.816,538.339,363.378,407.023,329.349,311.956,278.154
11/2028,554.328,477.474,538.335,560.325,627.842,601.658,402.933,399.243,350.054,322.998,358.093,604.672,564.497,604.721,469.293,452.221,451.955,459.204,579.033,324.162,466.144,473.415,402.272,443.151,486.761,376.109,458.452,446.688,412.194,354.611
12/2028,424.111,369.016,465.335,491.064,458.389,461.310,350.532,307.998,309.204,264.306,321.315,376.367,414.688,417.470,389.822,391.419,374.124,403.490,453.360,301.408,324.488,372.867,331.130,373.275,417.249,300.665,420.426,364.600,343.439,301.661
1/2029,390.154,355.303,408.766,448.775,421.947,386.819,335.729,284.785,271.187,228.166,281.235,525.283,388.605,362.564,319.205,379.992,340.591,370.976,425.916,276.727,268.129,340.464,305.111,401.826,373.039,277.660,373.025,305.003,302.263,376.175
