Run Number,Trace Number,Object.Slot,Timestep,Slot Value,Unit
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,04-30-2031 23:59:00,15530,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,05-31-2031 23:59:00,19594,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,06-30-2031 23:59:00,21429,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,07-31-2031 23:59:00,24266,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,08-31-2031 23:59:00,23615,acre-ft/month
1,1,PumpingFromLakeMead:SNWP.Diversion Requested,09-30-2031 23:59:00,17568,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,05-31-2026 23:59:00,85000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,06-30-2026 23:59:00,96000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,07-31-2026 23:59:00,98000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,08-31-2026 23:59:00,98000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,09-30-2026 23:59:00,96000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,10-31-2026 23:59:00,98000,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,11-30-2026 23:59:00,95349,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,12-31-2026 23:59:00,100280,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,01-31-2027 23:59:00,81258,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,02-28-2027 23:59:00,221,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,03-31-2027 23:59:00,81258,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,04-30-2027 23:59:00,81258,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,05-31-2027 23:59:00,77234,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,06-30-2027 23:59:00,88299,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,07-31-2027 23:59:00,90311,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,08-31-2027 23:59:00,90311,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,09-30-2027 23:59:00,88299,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,10-31-2027 23:59:00,90311,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,11-30-2027 23:59:00,81389,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,12-31-2027 23:59:00,86350,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,01-31-2028 23:59:00,74284,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,02-29-2028 23:59:00,217,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,03-31-2028 23:59:00,74284,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,04-30-2028 23:59:00,74284,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,05-31-2028 23:59:00,70347,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,06-30-2028 23:59:00,81174,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,07-31-2028 23:59:00,83143,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,08-31-2028 23:59:00,83143,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,09-30-2028 23:59:00,81174,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,10-31-2028 23:59:00,83143,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,11-30-2028 23:59:00,74413,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,12-31-2028 23:59:00,79267,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,01-31-2029 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,02-28-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,03-31-2029 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,04-30-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,05-31-2029 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,06-30-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,07-31-2029 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,08-31-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,09-30-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,10-31-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,11-30-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,12-31-2029 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,01-31-2030 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,02-28-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,03-31-2030 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,04-30-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,05-31-2030 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,06-30-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,07-31-2030 23:59:00,84637,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,08-31-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,09-30-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,10-31-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,11-30-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,12-31-2030 23:59:00,76426,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,01-31-2031 23:59:00,82455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,02-28-2031 23:59:00,74455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,03-31-2031 23:59:00,82455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,04-30-2031 23:59:00,74455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,05-31-2031 23:59:00,82455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,06-30-2031 23:59:00,74455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,07-31-2031 23:59:00,82455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,08-31-2031 23:59:00,74455,acre-ft/month
1,1,MWDDiversion:MWD.Diversion Requested,09-30-2031 23:59:00,74455,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,05-31-2026 23:59:00,175699,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,06-30-2026 23:59:00,105605,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,07-31-2026 23:59:00,31000,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,08-31-2026 23:59:00,22000,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,09-30-2026 23:59:00,58932,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,10-31-2026 23:59:00,47432,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,11-30-2026 23:59:00,86314,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,12-31-2026 23:59:00,43892,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,01-31-2027 23:59:00,60992,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,02-28-2027 23:59:00,57533,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,03-31-2027 23:59:00,157022,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,04-30-2027 23:59:00,178079,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,05-31-2027 23:59:00,180216,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,06-30-2027 23:59:00,76658,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,07-31-2027 23:59:00,14707,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,08-31-2027 23:59:00,22540,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,09-30-2027 23:59:00,57533,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,10-31-2027 23:59:00,58246,acre-ft/month
1,1,CAPDiversion.Total Diversion Requested,11-30-2027 23:59:00,47971,acre-ft/month
